0.033168;0.037282;0.047456;0.068362;0.120609;0.535797;0.42474;0.189957;0.112095;0.069743;0.051534;0.042745;0.691198
0.033951;0.038117;0.048421;0.069593;0.122375;0.533343;0.416951;0.186757;0.112358;0.069927;0.051684;0.042879;0.701053
0.034653;0.038712;0.048896;0.069815;0.121353;0.520025;1;0.187216;0.114778;0.071;0.052282;0.043229;0.710617
0.035231;0.039034;0.048867;0.069062;0.117968;0.497977;1;0.191391;0.115496;0.073038;0.05339;0.043858;0.719885
0.035667;0.039112;0.048441;0.067625;0.113177;0.471807;1;0.198793;0.117332;0.075958;0.054987;0.044787;0.728855
0.035969;0.039033;0.047831;0.065979;0.108272;0.242041;0.636606;0.207882;0.119733;0.079418;0.056916;0.045959;0.737549
0.036129;0.038804;0.047062;0.064179;0.103387;0.221291;0.61403;0.218698;0.122672;0.083419;0.059178;0.047382;0.745979
0.036142;0.038422;0.046132;0.062228;0.098513;0.202829;0.592274;0.231598;0.126217;0.086287;0.061802;0.049072;0.754154
0.036055;0.038155;0.045613;0.061243;0.096138;0.194825;0.57812;0.235705;0.127441;0.086504;0.063851;0.05056;0.762128
0.035926;0.038022;0.045465;0.061064;0.095697;0.194033;0.569578;0.23235;0.126462;0.085783;0.065277;0.05178;0.769885
0.035787;0.037878;0.045305;0.060813;0.095233;0.193201;0.560943;0.228985;0.125491;0.085067;0.066729;0.053022;0.777409
0.035644;0.03773;0.04514;0.060471;0.09476;0.192353;0.552225;0.225594;0.124515;0.084348;0.066337;0.054279;0.784704
0.035498;0.03758;0.044974;0.060126;0.094281;0.373342;0.543427;0.222175;0.123532;0.083623;0.065728;0.055548;0.791776
0.035352;0.037428;0.044753;0.059778;0.093798;0.369048;0.534554;0.218726;0.122541;0.082892;0.065114;0.056828;0.798631
0.035204;0.037275;0.044461;0.059426;0.093311;0.364718;0.525606;0.215249;0.121541;0.082155;0.064495;0.056278;0.805273
0.035054;0.037094;0.044167;0.059072;0.092819;0.360353;0.516587;0.211744;0.120534;0.081413;0.063871;0.055709;0.811709
0.034904;0.036827;0.043871;0.058714;0.092324;0.355955;0.507499;0.208212;0.119519;0.080664;0.063242;0.055136;0.817945
0.034716;0.036558;0.043572;0.058355;0.091826;0.351524;0.498344;0.204653;0.118496;0.07991;0.062609;0.054559;0.823985
0.03443;0.036171;0.04303;0.057524;0.090256;0.343483;0.486551;0.203784;0.118687;0.079695;0.062249;0.054103;0.829834
0.034064;0.035546;0.042036;0.055861;0.086872;0.32966;0.470563;0.207902;0.12116;0.080507;0.062432;0.053918;0.835478
0.033564;0.034652;0.040595;0.053448;0.082017;0.3117;0.45151;0.217425;0.126106;0.082437;0.063238;0.054091;0.840903
